restaurant_id,restaurant_name,cocina,city
1,Restaurante A,japonesa,Madrid
2,Restaurante B,española,Barcelona
3,Restaurante C,india,Barcelona
4,Restaurante D,japonesa,Vitoria
5,Restaurante E,japonesa,Vitoria
6,Restaurante F,mediterránea,Madrid
7,Restaurante G,italiana,Madrid
8,Restaurante H,india,Barcelona
9,Restaurante I,francesa,Vitoria
10,Restaurante J,italiana,Vitoria
11,Restaurante K,india,Vitoria
12,Restaurante L,mediterránea,Barcelona
13,Restaurante M,americana,Vitoria
14,Restaurante N,española,Madrid
15,Restaurante O,mexicana,Sevilla
16,Restaurante P,vegana,Valencia
17,Restaurante Q,mexicana,Barcelona
18,Restaurante R,vegana,Madrid
19,Restaurante S,japonesa,Sevilla
20,Restaurante T,japonesa,Valencia
21,Restaurante U,vegana,Vitoria
22,Restaurante V,española,Madrid
23,Restaurante W,americana,Vitoria
24,Restaurante X,japonesa,Sevilla
25,Restaurante Y,japonesa,Vitoria
26,Restaurante Z,española,Vitoria
27,Restaurante [,vegana,Vitoria
28,Restaurante \,india,Madrid
29,Restaurante ],italiana,Barcelona
30,Restaurante ^,española,Madrid
31,Restaurante _,india,Madrid
32,Restaurante `,mediterránea,Valencia
33,Restaurante A,americana,Valencia
34,Restaurante B,mexicana,Valencia
36,Restaurante D,española,Madrid
37,Restaurante E,tailandesa,Barcelona
38,Restaurante F,francesa,Barcelona
39,Restaurante G,mexicana,Sevilla
40,Restaurante H,mediterránea,Valencia
41,Restaurante I,francesa,Barcelona
42,Restaurante J,vegana,Madrid
43,Restaurante K,india,Madrid
44,Restaurante L,vegana,Sevilla
45,Restaurante M,española,Madrid
46,Restaurante N,india,Vitoria
47,Restaurante O,vegana,Barcelona
48,Restaurante P,americana,Sevilla
50,Restaurante R,española,Barcelona
